증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스닥,  솔고바이오 ,043100,의료용 기기 제조업,"가정용 온열치료기, 의료기구",2000-08-08,12월,김재욱,http://www.solco.co.kr,경기도
코스닥,  비츠로테크 ,042370,기타 금융업,"차단기, 개폐기",2000-08-03,12월,장순상..,http://www.vitzrotech.com,경기도
코스닥,  코아시아 ,045970,반도체 제조업,LED패키지,2000-08-03,12월,이희준..,http://www.coasiacorp.co.kr,인천광역시
코스닥,  정상제이엘에스 ,040420,일반 교습 학원,어학교육업,2000-08-01,12월,박정흠,http://www.gojls.com,서울특별시
코스닥,  진양제약 ,007370,의약품 제조업,"소부날, 옥티란",2000-07-27,12월,최재준..,http://www.jinyangpharm.co.kr,서울특별시
코스닥,  지니뮤직 ,043610,영상·오디오물 제공 서비스업,디지털 음악 서비스 및 음원유통,2000-07-20,12월,Seo..,http://www.geniemusic.co.kr,서울특별시
코스닥,  진성티이씨 ,036890,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,2000-07-20,12월,윤성수..,http://www.jinsungtec.com,경기도
코스닥,  현대에이치티 ,039010,통신 및 방송 장비 제조업,스마트홈 제조,2000-07-20,12월,이건구,http://www.hyundaiht.co.kr,서울특별시
코스닥,  삼아제약 ,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",2000-07-19,12월,허 준,http://www.samapharm.co.kr,강원특별자치도
코스닥,  파루 ,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)",2000-07-19,12월,강문식,http://www.paru.co.kr,전라남도
코스닥,  에스씨디 ,042110,가정용 기기 제조업,전자렌지용 MOTOR 및 냉장고용 TIMER,2000-07-13,12월,오길호,http://www.sscd.co.kr,경기도
코스닥,  한국정보공학 ,039740,기타 전문 도매업,"그룹웨어, 자료관리시스템",2000-07-06,12월,유용석..,http://www.kies.co.kr,경기도
코스닥,  디오 ,039840,의료용 기기 제조업,자동포장기계,2000-06-29,12월,김종원,http://dio.co.kr,부산광역시
코스닥,  네오위즈홀딩스 ,042420,소프트웨어 개발 및 공급업,지주사업,2000-06-27,12월,김상욱,http://www.neowiz.com,경기도
코스닥,  다산네트웍스 ,039560,통신 및 방송 장비 제조업,네트워크 통신장비,2000-06-22,12월,남민우,http://www.dasannetworks.com,경기도
코스닥,  바이오스마트 ,038460,전자부품 제조업,"M/S 카드제조업, IC 카드제조, 카드장비판매",2000-06-22,12월,윤호권,http://www.bio-smart.com,서울특별시
코스닥,  우리기술 ,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",2000-06-22,12월,노갑선,http://www.wooritg.com,서울특별시
코스닥,  안국약품 ,001540,의약품 제조업,"그랑파제, 토비콤-S",2000-06-15,12월,원덕권,http://www.ahn-gook.com,경기도
코스닥,  세중 ,039310,소프트웨어 개발 및 공급업,여행,2000-06-09,12월,천신일..,http://www.sejoong.com,서울특별시
"코스닥, KOSDAQ150",  우리기술투자  ,041190,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.co.kr,서울특별시
코스닥,  케이바이오 ,038530,생활용품 도매업,"실험용 시약, 과학기자재 등",2000-06-09,12월,조정영,http://www.kbiocompany.com,서울특별시
코스닥,  HRS ,036640,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도
코스닥,  에스에이엠티 ,031330,기계장비 및 관련 물품 도매업,"반도체(메모리,비메모리), CPU, TFT-LCD, 네트웍 장비, PC 및 주변기기, 이동통신수탁사업",2000-05-23,12월,박두진,http://www.isamt.com,서울특별시
코스닥,  위즈코프 ,038620,연료 소매업,인터넷 인프라 및 응용,2000-05-04,12월,정승환,http://www.wizit.com,서울특별시
코스닥,  이건홀딩스 ,039020,제재 및 목재 가공업,창호,2000-05-04,12월,안기명..,http://www.eagon.com,인천광역시
코스닥,  파인디지털 ,038950,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기",2000-05-04,12월,김용훈,http://www.finedigital.com,경기도
코스닥,  나이스정보통신 ,036800,전기 통신업,카드 VAN사업,2000-05-03,12월,김승현,http://www.nicevan.co.kr,서울특별시
코스닥,  SG&G ,040610,기타 운송관련 서비스업,생활정보신문,2000-04-27,12월,이 의..,http://www.sgng.com,경기도
코스닥,  아이에이 ,038880,전자부품 제조업,"반도체 및 모듈, 제어기",2000-04-27,12월,김동진..,http://www.ia-inc.kr,서울특별시
코스닥,  에스넷 ,038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",2000-04-27,12월,유홍준..,http://www.snetsystems.co.kr,서울특별시
"코스닥, KOSDAQ150, KRX300",  에스엠   ,041510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",2000-04-27,12월,장철혁..,http://smentertainment.com,서울특별시
"코스닥, 투자주의환기종목",  쌍용정보통신  ,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","클라우드,시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)",2000-04-14,12월,신장호,http://www.sicc.co.kr,서울특별시
코스닥,  쎄니트 ,037760,1차 철강 제조업,스테인레스 냉연강판,2000-04-07,12월,최재관..,http://www.cenit.kr,경상남도
코스닥,  대성미생물 ,036480,의약품 제조업,"동물용 의약품, 미생물제재",2000-04-04,12월,이동규..,http://www.dsmbio.com,경기도
코스닥,  에코플라스틱 ,038110,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,2000-03-23,12월,이용철,http://WWW.AP.CO.KR,경상북도
"코스닥, KOSDAQ150",  케이엠더블유  ,032500,통신 및 방송 장비 제조업,RF 부품 및 중계기,2000-03-21,12월,김덕용,http://www.kmw.co.kr,경기도
코스닥,  화성밸브 ,039610,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기",2000-03-16,12월,장원규..,http://www.hsvalve.co.kr,대구광역시
코스닥,  경남스틸 ,039240,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등",2000-03-07,12월,최석우,http://www.ksteel.co.kr,경상남도
코스닥,  마크로젠 ,038290,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,김창훈,http://www.macrogen.com,서울특별시
코스닥,  희림 ,037440,"건축기술, 엔지니어링 및 관련 기술 서비스업",설계 및 감리용역,2000-02-03,12월,정영균..,http://www.heerim.com,서울특별시
코스닥,  레드캡투어 ,038390,여행사 및 기타 여행보조 서비스업,"여행알선, 렌터카",2000-02-01,12월,인유성,http://www.redcap.co.kr,서울특별시
"코스닥, KOSDAQ150, KRX300",  솔브레인홀딩스   ,036830,회사 본부 및 경영 컨설팅 서비스업,"반도체,디스플레이,2차전지 공정용 화학제품",2000-01-18,12월,정현석,http://www.soulbrainholdings.co.kr,경기도
"코스닥, KOSDAQ150",  에프에스티  ,036810,전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통",2000-01-18,12월,장경빈,http://www.fstc.co.kr,경기도
"코스닥, 관리종목, 투자주의환기종목",  코맥스   ,036690,통신 및 방송 장비 제조업,"홈네트워크시스템,CCTV 방송설비",2000-01-18,12월,변우석,http://www.commax.com,경기도
코스닥,  EG ,037370,기초 화학물질 제조업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,전라남도
코스닥,  감성코퍼레이션 ,036620,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기",2000-01-11,12월,김호선,http://www.gamsungcorp.co.kr,서울특별시
코스닥,  성도이엔지 ,037350,"건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조",2000-01-11,12월,이언웅..,http://www.sungdokorea.com,서울특별시
코스닥,  제일테크노스 ,038010,"구조용 금속제품, 탱크 및 증기발생기 제조업",DECK PLATE,2000-01-11,12월,나주영..,http://www.jeil21c.co.kr,경상북도
유가증권,  한세예스24홀딩스 ,016450,봉제의복 제조업,"의류(니트) 제조,도소매,원단 제조,부동산 임대",2000-01-06,12월,김동녕..,http://www.hansaeyes24.com,서울특별시
코스닥,  무림SP ,001810,"펄프, 종이 및 판지 제조업","아트지,CCP지",2000-01-04,12월,이도균,http://www.moorim.co.kr,서울특별시
코스닥,  세종텔레콤 ,036630,전기 통신업,WLL/GPS/위성DMB/VoIP 단말기,2000-01-04,12월,김형진..,http://www.sejongtelecom.net,경기도
코스닥,  심텍홀딩스 ,036710,통신 및 방송 장비 제조업,반도체용 인쇄회로기판,2000-01-04,12월,박광준,http://www.simmtechholdings.co.kr,충청북도
코스닥,  파세코 ,037070,가정용 기기 제조업,"창문형에어컨,석유스토브",2000-01-04,12월,유일한,http://www.paseco.co.kr,경기도
코스닥,  SGC E&C ,016250,건물 건설업,"건축공사, 플랜트설비, 토목공사",1999-12-28,12월,이우성..,http://www.sgcetec.co.kr,서울특별시
코스닥,  영풍정밀 ,036560,일반 목적용 기계 제조업,"펌프, 밸브, 주물",1999-12-28,12월,최창규..,http://www.yppc.co.kr,서울특별시
코스닥,  서희건설 ,035890,건물 건설업,"토목, 건축, 부동산임대업",1999-12-24,12월,김팔수..,http://www.seohee.co.kr,경기도
"코스닥, KOSDAQ150, KRX300",  주성엔지니어링   ,036930,특수 목적용 기계 제조업,LP CVD,1999-12-24,12월,황철주,http://www.jseng.com,경기도
코스닥,  케이티알파 ,036030,상품 중개업,"커머스, 콘텐츠, ICT",1999-12-24,12월,박승표,http://www.ktalpha.com,서울특별시
유가증권,  대성홀딩스 ,016710,회사 본부 및 경영 컨설팅 서비스업,"도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대",1999-12-22,12월,대표이..,http://www.daesung-holdings.com,대구광역시
"코스닥, KOSDAQ150",  다우데이타  ,032190,기계장비 및 관련 물품 도매업,"Autodesk 제품군 및 보안, 백신 소프트웨어 등",1999-12-21,12월,김상준,http://www.daoudata.co.kr,서울특별시
"코스닥, KOSDAQ150, KRX300",  동진쎄미켐   ,005290,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",1999-12-21,12월,이부섭..,http://www.dongjin.com,인천광역시
코스닥,  선광 ,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",1999-12-21,12월,이도희,http://www.sun-kwang.co.kr,인천광역시
코스닥,  제이에스티나 ,026040,귀금속 및 장신용품 제조업,"주얼리,가죽제품,손목시계",1999-12-21,12월,대표이..,http://www.jestina.co.kr,서울특별시
"코스닥, 불성실공시",  지더블유바이텍  ,036180,기계장비 및 관련 물품 도매업,"무선통신,방송및응용장치제조업",1999-12-21,12월,양재원,http://www.younginfrontier.com,서울특별시
코스닥,  클라우드에어 ,036170,반도체 제조업,LED패키지,1999-12-21,12월,하관호,http://www.cloud-air.co.kr,경기도
코스닥,  한국팩키지 ,037230,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",1999-12-21,12월,정진우,http://www.hkpak.co.kr,경상남도
코스닥,  삼지전자 ,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업                                                                 ",1999-12-16,12월,각자대..,http://www.samjielec.co.kr,경기도
코스닥,  우리엔터프라이즈 ,037400,상품 종합 도매업,"변환장치 제조업 백열전구, 형광등",1999-12-16,12월,엄태욱,http://www.wooree.co.kr,경기도
유가증권,  대원제약 ,003220,의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",1999-12-15,12월,백승열..,http://www.daewonpharm.com,서울특별시
"유가증권, KOSPI200, KRX300",  한국가스공사   ,036460,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시
"코스닥, KOSDAQ150",  네패스  ,033640,반도체 제조업,반도체및TFT-LCD용현상액,1999-12-14,12월,이병구..,http://www.nepes.co.kr,충청북도
코스닥,  인지디스플레 ,037330,전자부품 제조업,"TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME",1999-12-14,12월,정구용..,http://www.inzidisplay.co.kr,경기도
코스닥,  위지트 ,036090,특수 목적용 기계 제조업,LCD 반도체,1999-12-10,12월,양승환,http://www.wizit.co.kr,인천광역시
코스닥,  유니셈 ,036200,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),1999-12-10,12월,김형균..,http://www.unisem.co.kr,경기도
코스닥,  유성티엔에스 ,024800,육상 여객 운송업,"운송,C형강,차량정비",1999-12-10,12월,김원철,http://www.yoosungtns.co.kr,서울특별시
코스닥,  코리아나 ,027050,기타 화학제품 제조업,화장품,1999-12-10,12월,유학수,http://www.coreana.co.kr,충청남도
코스닥,  SCI평가정보 ,036120,기타 정보 서비스업,"신용조회,채권추심,신용조사",1999-12-07,12월,박영수,http://www.sci.co.kr,서울특별시
코스닥,  골드앤에스 ,035290,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.goldns.co.kr,서울특별시
코스닥,  서울전자통신 ,027040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자변성기, 무역업(트랜스포머자재)",1999-12-03,12월,김성훈,http://www.seoulset.com,인천광역시
코스닥,  대성창투 ,027830,신탁업 및 집합투자업,투자서비스,1999-11-30,12월,김영훈,http://www.daesungpe.com,서울특별시
코스닥,  예림당 ,036000,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,1999-11-30,12월,나성훈,http://yearim.co.kr,서울특별시
유가증권,  미래아이앤지 ,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시
"코스닥, KOSDAQ150, KRX300",  CJ ENM   ,035760,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,윤상현,http://www.cjmall.com,서울특별시
코스닥,  이지홀딩스 ,035810,동물용 사료 및 조제식품 제조업,지주회사,1999-11-23,12월,지현욱..,http://www.easyholdings.co.kr,서울특별시
코스닥,  기산텔레콤 ,035460,통신 및 방송 장비 제조업,"광모듈, 에코 켄슬러, 중계기, VoIP Server등",1999-11-18,12월,박병기,http://www.kisantel.co.kr,서울특별시
유가증권,  화천기공 ,000850,특수 목적용 기계 제조업,"CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매",1999-11-18,12월,권형석..,http://www.hwacheon.com,광주광역시
유가증권,  팜스코 ,036580,"곡물가공품, 전분 및 전분제품 제조업","배합사료 제조,도매",1999-10-25,12월,김남욱,http://www.farmsco.com,경기도
"유가증권, KOSPI200, KRX300",  케이티앤지   ,033780,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",1999-10-08,12월,방경만,http://www.ktng.com,대전광역시
"유가증권, KTOP30, KOSPI200, KRX300",  HD한국조선해양    ,009540,기타 금융업,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",1999-08-24,12월,정기선..,http://www.ksoe.co.kr,경기도
유가증권,  디씨엠 ,024090,1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",1999-08-18,12월,정연택..,http://www.dcmcorp.co.kr,경상남도
코스닥,  바른손이앤에이 ,035620,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 및 콘텐츠 투자배급,1999-08-13,12월,최윤희,http://www.barunsonena.com/,서울특별시
코스닥,  솔본 ,035610,회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,1999-08-13,12월,홍 기..,http://www.solborn.co.kr,서울특별시
코스닥,  시공테크 ,020710,전문디자인업,"박물관, 전시관, 엑스포, 특수영상",1999-08-13,12월,김승태,http://www.sigongtech.co.kr,경기도
코스닥,  신일제약 ,012790,의약품 제조업,"디펜플라스타, 맥스케어, 트레스, 리피칸",1999-08-13,12월,홍재현,http://www.sinilpharm.com,충청북도
코스닥,  조아제약 ,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매",1999-08-13,12월,조성환..,http://www.choa.co.kr,서울특별시
유가증권,  AK홀딩스 ,006840,기타 금융업,지주사업,1999-08-11,12월,채형석..,http://www.aekyunggroup.co.kr,서울특별시
유가증권,  HS애드 ,035000,광고업,지주회사,1999-08-11,12월,박애리,http://www.g2rgroup.com/korean/main/main.asp,서울특별시
"유가증권, KOSPI200, KRX300",  대한유화   ,006650,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조",1999-08-11,12월,강길순,http://www.kpic.co.kr,서울특별시
유가증권,  백산 ,035150,플라스틱제품 제조업,"P.U.인조피혁,부직포인공피혁 제조,무역",1999-08-11,12월,김한준,http://www.baiksan.co.kr,경기도
유가증권,  체시스 ,033250,자동차 신품 부품 제조업,"자동차부품,뒷차축 제조",1999-08-11,12월,이명곤..,http://www.chasys.com,경상북도
코스닥,  인성정보 ,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션,1999-07-30,12월,원종윤..,http://www.insunginfo.co.kr,서울특별시
코스닥,  그래디언트 ,035080,무점포 소매업,전자상거래,1999-07-05,12월,이기형..,http://www.gradiant.co.kr/,서울특별시
코스닥,  동국산업 ,005160,1차 철강 제조업,"철강무역,강판제품제조",1999-06-25,12월,이원휘..,http://www.dkis.co.kr,서울특별시
코스닥,  매일홀딩스 ,005990,동·식물성 유지 및 낙농제품 제조업,유제품,1999-05-14,12월,김정완..,http://www.maeil.com,서울특별시
코스닥,  해성산업 ,034810,기타 금융업,시설관리 용역 및 부동산 임대,1999-04-16,12월,조성래,http://www.haesungind.co.kr,서울특별시
유가증권,  자화전자 ,033240,전자부품 제조업,"Bonded magenet,플라스틱자성제품,티탄산 바륨계 반도체소자,휴대전화용 Vibration Motor,전자관,전자부품 제조",1999-01-06,12월,김상면..,http://www.jahwa.co.kr,충청북도
"유가증권, KOSPI200, KRX300",  케이티   ,030200,전기 통신업,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",1998-12-23,12월,김영섭,http://www.kt.com,경기도
유가증권,  하이트론씨스템즈 ,019490,영상 및 음향기기 제조업,"영상음향기기(보안시스템,CCTV용 모니터,CRT,화상회의시스템),정보통신기기 제조",1998-11-04,12월,유앤디,http://www.hitron.co.kr,경기도
"유가증권, KOSPI200, KRX300",  제일기획   ,030000,광고업,"광고 대행/광고물,영화 제작,인쇄,출판",1998-03-03,12월,김종현,http://www.cheil.co.kr,서울특별시
"코스닥, KOSDAQ150",  한국정보통신  ,025770,전기 통신업,"신용카드부가통신업(VAN),전자지급결제대행업(PG)",1998-01-20,12월,임명수,http://www.kicc.co.kr,서울특별시
코스닥,  파라텍 ,033540,특수 목적용 기계 제조업,소방기기,1997-12-26,12월,박선기,http://www.paratech.co.kr,충청남도
코스닥,  동성화인텍 ,033500,기초 화학물질 제조업,초저온 보냉재,1997-12-19,12월,최용석,http://www.dsfinetec.co.kr,부산광역시
유가증권,  스틱인베스트먼트 ,026890,신탁업 및 집합투자업,사모펀드(PEF),1997-11-25,12월,곽동걸..,http://www.stic.co.kr,서울특별시
유가증권,  케이씨 ,029460,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",가스/Chemical 공급 장치 등 제조 및 판매,1997-11-25,12월,고상걸..,http://www.kct.co.kr,경기도
코스닥,  드래곤플라이 ,030350,소프트웨어 개발 및 공급업,온라인게임,1997-11-10,12월,조 철,http://www.dragonflygame.com,서울특별시
코스닥,  엠케이전자 ,033160,전자부품 제조업,반도체용세금선,1997-11-10,12월,현기진,http://www.mke.co.kr,경기도
코스닥,  엠투엔 ,033310,기타 금속 가공제품 제조업,산업용자동제어반기기,1997-11-10,12월,이승건,http://www.dkdni.co.kr,서울특별시
코스닥,  제이씨현시스템 ,033320,기계장비 및 관련 물품 도매업,"메인보드, 그래픽카드",1997-11-10,12월,차중석..,http://www.jchyun.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  포스코엠텍   ,009520,1차 철강 제조업,철강포장용역 및 Al탈산제 생산,1997-11-10,12월,송치영,http://www.poscomtech.com,경상북도
코스닥,  스페코 ,013810,특수 목적용 기계 제조업,아스팔트믹싱플랜트,1997-11-03,12월,김재현,http://www.speco.co.kr,서울특별시
코스닥,  좋은사람들 ,033340,봉제의복 제조업,패션내의,1997-11-03,12월,이성현..,http://www.goodpeople.co.kr,서울특별시
유가증권,  대원화성 ,024890,플라스틱제품 제조업,"합성피혁,벽지,DMF(폐용수)정제,방수투습원단,화공약 임가공,제조,도매,수출입",1997-10-28,12월,강동엽,http://www.daewon21.co.kr,서울특별시
"코스닥, 투자주의환기종목",  모아텍  ,033200,전자부품 제조업,위치제어용초정및소형모터,1997-10-13,03월,최성환,http://www.moatech.co.kr,인천광역시
코스닥,  코웰패션 ,033290,"섬유, 의복, 신발 및 가죽제품 소매업","의복, 잡화, 콘덴서",1997-10-13,12월,최용석,http://www.cowellfashion.co.kr,전북특별자치도
코스닥,  코콤 ,015710,통신 및 방송 장비 제조업,비디오도어폰,1997-09-30,12월,고진호,http://www.kocom.com,서울특별시
유가증권,  E1 ,017940,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,구자용..,http://www.e1.co.kr,서울특별시
유가증권,  SK가스 ,018670,기타 전문 도매업,"액화석유가스,가스기기 판매,수입,저장",1997-08-27,12월,윤병석,http://www.skgas.co.kr/,경기도
"유가증권, KRX300",  다우기술  ,023590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1997-08-27,12월,김윤덕,http://www.daou.co.kr,경기도
유가증권,  영보화학 ,014440,플라스틱제품 제조업,"가교발포폴리에틸렌(아티론,영보드) 제조,판매",1997-08-27,12월,김태훈,http://www.youngbo.com,충청북도
"코스닥, KOSDAQ150",  제룡전기  ,033100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","송배전용금구류,변압기",1997-08-18,12월,박종태,http://www.cheryong.co.kr,서울특별시
코스닥,  제이엠아이 ,033050,기타 화학제품 제조업,CD복제품,1997-08-18,12월,정광훈,http://www.jmikorea.co.kr,경기도
코스닥,  디지틀조선 ,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스,1997-08-06,12월,김영수,http://www.chosun.com,서울특별시
코스닥,  바이온 ,032980,음·식료품 및 담배 도매업,"배너,타포린,화장품,자동차부품",1997-08-06,12월,류진형,http://www.by-on.co.kr,경기도
코스닥,  와이지-원 ,019210,기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴",1997-08-06,12월,송호근..,http://www.yg1.co.kr,인천광역시
코스닥,  특수건설 ,026150,토목 건설업,보링,1997-08-06,12월,김중헌..,http://www.tuksu.co.kr,서울특별시
코스닥,  아이즈비전 ,031310,전기 통신업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)",1997-07-25,12월,김상우..,http://www.eyesvision.com,서울특별시
"유가증권, KOSPI200, KRX300",  SKC   ,011790,기타 화학제품 제조업,"폴리에스테르필름,합성수지,LCD용 필름 제조",1997-07-18,12월,박원철,http://www.skc.kr,경기도
코스닥,  동일기연 ,032960,전자부품 제조업,EMI,1997-07-18,12월,손동준..,http://www.dongiltech.co.kr,경기도
코스닥,  소프트센 ,032680,기타 정보 서비스업,전산기기 및 정보통신공사,1997-07-18,12월,얼티앤..,http://www.softcen.co.kr,서울특별시
코스닥,  원익 ,032940,기계장비 및 관련 물품 도매업,"Quartz, HIC, 의료기기",1997-07-18,12월,장홍식,http://www.wonik.co.kr,경기도
코스닥,  원풍물산 ,008290,봉제의복 제조업,남성용신사복,1997-07-18,12월,이두식,http://www.wonpung.com,인천광역시
"유가증권, 관리종목",  웰바이오텍  ,010600,상품 중개업,"피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조",1997-07-18,12월,김한국,http://www.wellbiotec.co.kr,서울특별시
유가증권,  한국주강 ,025890,특수 목적용 기계 제조업,"주강,주물 제조,도매",1997-07-18,12월,하만규,http://www.hascokorea.co.kr,경상남도
코스닥,  삼진 ,032750,통신 및 방송 장비 제조업,리모컨,1997-07-14,12월,김승철,http://www.samjin.com,경기도
"코스닥, 관리종목, 투자주의환기종목",  더라미   ,032860,"해체, 선별 및 원료 재생업",철스크랩,1997-07-04,12월,현병택,http://www.glosferlabs.com,경기도
코스닥,  비트컴퓨터 ,032850,소프트웨어 개발 및 공급업,의료정보시스템,1997-07-04,12월,전 진..,http://www.bit.co.kr,서울특별시
코스닥,  엠젠솔루션 ,032790,기계장비 및 관련 물품 도매업,"프린터형상기, 광통신장비, Bio이종장기, AI솔루션",1997-06-26,12월,조상환,http://www.mgensolutions.kr,서울특별시
코스닥,  판타지오 ,032800,창작 및 예술관련 서비스업,교육서비스,1997-06-26,06월,신영진,http://fantagio.kr,서울특별시
유가증권,  덕양산업 ,024900,자동차 신품 부품 제조업,"자동차부품(CRASH PAD,TRIM PANEL) 제조,판매",1997-06-23,12월,윤성희..,http://www.duckyang.co.kr,울산광역시
유가증권,  에쓰씨엔지니어링 ,023960,토목 건설업,"기술용역(건축설계) 서비스/화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",1997-06-23,12월,김건우,http://www.sc-eng.com,서울특별시
유가증권,  인지컨트롤스 ,023800,자동차 신품 부품 제조업,"자동차부품(터머스위치,터머스탯) 제조",1997-06-23,12월,정구용..,http://www.inzi.co.kr,경기도
코스닥,  유비케어 ,032620,소프트웨어 개발 및 공급업,"의사랑,유팜,미소몰 ",1997-05-02,12월,이상경..,http://www.ubcare.co.kr,서울특별시
코스닥,  피델릭스 ,032580,반도체 제조업,PSRAM 및 LPSDRAM,1997-04-22,12월,안승한..,http://www.fidelix.co.kr,경기도
코스닥,  TJ미디어 ,032540,영상 및 음향기기 제조업,영상음향반주기,1997-04-16,12월,윤나라,http://www.tjmedia.co.kr/ ,서울특별시
코스닥,  휴맥스홀딩스 ,028080,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지주사업, IT서비스사업",1997-04-16,12월,변대규,http://holdings.humaxdigital.com/,경기도
코스닥,  삼일 ,032280,도로 화물 운송업,운송 및 하역수입,1997-03-15,12월,강승엽..,http://www.samil31.co.kr,경상북도
유가증권,  경동인베스트 ,012320,기타 금융업,지주회사,1997-03-07,12월,정승진,http://www.kdinvest.co.kr,경기도
코스닥,  뉴인텍 ,012340,자동차 신품 부품 제조업,콘덴서,1997-02-12,12월,장기수,http://www.nuin.co.kr,충청남도
유가증권,  에스제이엠홀딩스 ,025530,자동차 부품 및 내장품 판매업,지주회사및경영자문,1997-02-12,12월,김용호..,http://www.sjmholdings.co.kr,경기도
코스닥,  오스템 ,031510,자동차 신품 부품 제조업,휠,1997-02-12,12월,김정우..,http://www.yyauto.co.kr,충청남도
유가증권,  콤텍시스템 ,031820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",1997-02-12,12월,권창완,http://www.comtec.co.kr,서울특별시
